trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.95, 'e': 0.11598222130000556}",20,9,19.475854996356855,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.95, 'e': 0.11018311023500528}",20,4,31.545659367091705,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.95, 'e': 0.10467395472325501}",25,13,25.303238352750867,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.95, 'e': 0.09944025698709225}",30,22,15.891026287370186,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.95, 'e': 0.09446824413773763}",25,13,23.41619911378449,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.95, 'e': 0.08974483193085075}",20,0,14.38004391168636,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.95, 'e': 0.0852575903343082}",25,16,16.150319154066803,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.95, 'e': 0.0809947108175928}",25,10,16.93437911520206,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.95, 'e': 0.07694497527671315}",20,0,23.981042405123837,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.95, 'e': 0.07309772651287749}",25,18,12.307473577220295,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.95, 'e': 0.06944284018723361}",20,0,30.18781315762867,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.95, 'e': 0.06597069817787193}",25,16,13.86577521633875,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.95, 'e': 0.06267216326897833}",25,14,21.451311238314897,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.05953855510552941}",20,8,-0.34185280238369264,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
56,False,"{'a': 0.95, 'e': 0.056561627350252934}",20,14,1.7476259287727625,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.95, 'e': 0.053733545982740286}",35,21,-18.30144115568153,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.95, 'e': 0.051046868683603266}",25,3,5.932593526493564,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.95, 'e': 0.048494525249423104}",35,21,10.613689624150503,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.95, 'e': 0.046069798986951946}",20,5,19.5134518040836,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.95, 'e': 0.043766309037604346}",20,2,29.148515766188943,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.95, 'e': 0.04157799358572413}",25,20,10.490394704481542,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.95, 'e': 0.03949909390643792}",25,19,10.988114157194918,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.95, 'e': 0.03752413921111602}",25,5,37.86791738020946,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.95, 'e': 0.03564793225056022}",25,13,20.85619658321343,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.95, 'e': 0.033865535638032206}",35,3,44.59387033956442,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.95, 'e': 0.03217225885613059}",25,14,17.49127575233908,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.95, 'e': 0.030563645913324063}",25,12,23.289486852462908,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.95, 'e': 0.02903546361765786}",20,8,22.7856541078429,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.95, 'e': 0.027583690436774964}",25,0,33.3951318639544,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.95, 'e': 0.026204505914936217}",20,0,21.087454563347993,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.95, 'e': 0.024894280619189402}",20,10,16.947658775012172,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.95, 'e': 0.023649566588229934}",20,9,22.138335883939252,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.95, 'e': 0.022467088258818435}",25,6,34.96126042175989,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.95, 'e': 0.02134373384587751}",25,6,25.228112337056153,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.95, 'e': 0.020276547153583634}",20,2,24.607303869846852,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.95, 'e': 0.01926271979590445}",20,0,35.45341037161434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.95, 'e': 0.01829958380610923}",20,12,6.387886508255712,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.95, 'e': 0.017384604615803767}",30,12,-8.906274672879057,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.95, 'e': 0.01651537438501358}",30,17,24.070104777144,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.95, 'e': 0.0156896056657629}",20,15,7.812389751544072,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.95, 'e': 0.014905125382474753}",20,10,16.482665401684752,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.95, 'e': 0.014159869113351015}",20,11,16.827330375892377,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.95, 'e': 0.013451875657683464}",20,9,18.520583453424507,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.95, 'e': 0.012779281874799289}",30,13,26.842483643133576,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.95, 'e': 0.012140317781059324}",20,13,14.473837681328318,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.95, 'e': 0.011533301892006357}",20,7,19.861028108563282,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.95, 'e': 0.01095663679740604}",30,16,24.87818553694937,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.95, 'e': 0.010408804957535737}",20,10,20.18110663649283,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.95, 'e': 0.00988836470965895}",20,8,21.292436720010073,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.95, 'e': 0.009393946474176}",25,18,14.318176486716315,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.95, 'e': 0.008924249150467202}",30,17,24.52694234265563,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.95, 'e': 0.00847803669294384}",30,10,33.42997030404522,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.95, 'e': 0.008054134858296648}",20,1,24.304681688862637,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.95, 'e': 0.007651428115381815}",35,25,16.69955426882599,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.95, 'e': 0.007268856709612724}",20,16,6.153685964125443,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
