trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-90.13893925701706,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,2,-30.579373817458915,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",25,0,-104.86708292910005,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,0,-115.8711453549413,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",25,0,-18.53217280783815,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",20,0,-92.83624944411171,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-12.589994221832981,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",25,9,-106.63614340675066,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 2}",1
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-84.88060794426845,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,3,-7.8671178189501845,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-166.2448762653368,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,0,-83.4617437916273,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",30,0,-128.94596449625448,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,19,10.640487891652544,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",30,0,-287.7799641003068,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 5}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-41.67250087035279,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",30,0,-90.07044566182553,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,13,-0.17075963529103522,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-158.59818907415212,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-98.68379310457652,"{0: 15, 1: 6, 2: 1, 3: 2, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,0,-42.82735367505388,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
